iter	RMSE
348	4.883835001
349	4.883289863
350	4.882312111
351	4.881503956
352	4.880961189
353	4.880241974
354	4.87940581
355	4.879118256
356	4.87833089
357	4.876885394
358	4.876395581
359	4.876068672
360	4.875192421
361	4.874487553
362	4.873672929
363	4.872898304
364	4.872458292
365	4.871905871
366	4.871423113
367	4.87041759
368	4.86977351
369	4.868925625
370	4.868302661
371	4.867843455
372	4.867373341
373	4.86659458
374	4.864832124
375	4.864463142
376	4.863891893
377	4.863061876
378	4.861848615
379	4.861070335
380	4.860065816
381	4.859712792
382	4.85909317
383	4.858401914
384	4.857479069
385	4.857065068
386	4.85641778
387	4.855561617
388	4.85498204
389	4.854404287
390	4.853705622
391	4.853127083
392	4.852595514
393	4.851997608
394	4.851519843
395	4.850925265
396	4.850308188
397	4.849747038
398	4.849058049
399	4.848551327
400	4.847672344
401	4.84686344
402	4.846538824
403	4.845420149
404	4.845011406
405	4.844576534
406	4.843979999
407	4.843477063
408	4.842628532
409	4.842048715
410	4.841498467
411	4.840746569
412	4.839922675
413	4.839444871
414	4.838952281
415	4.838118565
416	4.837731166
417	4.836937991
418	4.836289564
419	4.835366509
420	4.834836466
421	4.833995822
422	4.833652475
423	4.833100924
424	4.832775284
425	4.832287554
426	4.831931655
427	4.831045023
428	4.830257357
429	4.829452976
430	4.82881051
431	4.828277941
432	4.827592745
433	4.82683948
434	4.826188002
435	4.825486678
436	4.824795883
437	4.823652628
438	4.823220605
439	4.822877359
440	4.822003892
441	4.820900034
442	4.820093476
443	4.819174488
444	4.818786235
445	4.818222119
446	4.817420247
447	4.817081551
448	4.816355365
449	4.815466422
450	4.81496058
451	4.814643908
452	4.813971379
453	4.813416882
454	4.812494752
455	4.812030577
456	4.811684528
457	4.811110935
458	4.810438293
459	4.809795171
460	4.809154441
461	4.808376235
462	4.807828406
463	4.807122745
464	4.806657676
465	4.805883015
466	4.805614099
467	4.80527193
468	4.804622693
469	4.804085761
470	4.803743819
471	4.803403574
472	4.803098397
473	4.802493897
474	4.801973535
475	4.801051489
476	4.800301434
477	4.799573381
478	4.799215397
479	4.798466744
480	4.797825246
481	4.797163361
482	4.796674775
483	4.796419588
484	4.795837229
485	4.795111665
486	4.794800718
487	4.794380937
488	4.793755855
489	4.793436119
490	4.792909186
491	4.792332297
492	4.791671919
493	4.790920904
494	4.790193195
495	4.789787429
496	4.788589514
497	4.788175671
498	4.787397876
499	4.786591641
500	4.786184447
501	4.78548175
502	4.785053771
503	4.784227198
504	4.783547444
505	4.783069614
506	4.7825436
507	4.779661411
508	4.779234658
509	4.778451544
510	4.778059151
511	4.777810226
512	4.777235264
513	4.776682259
514	4.7762325
515	4.775829445
516	4.775399581
517	4.774623075
518	4.774162079
519	4.773528922
520	4.772296397
521	4.771515156
522	4.770756215
523	4.770194962
524	4.769648541
525	4.769404819
526	4.768719687
527	4.768308347
528	4.767789406
529	4.767143722
530	4.766379845
531	4.765852189
532	4.765582391
533	4.765238807
534	4.764901998
535	4.764275876
536	4.763791168
537	4.763501437
538	4.762743956
539	4.762406353
540	4.762017078
541	4.761533259
542	4.761012462
543	4.7604622
544	4.760089551
545	4.759616318
546	4.759193489
547	4.758889952
548	4.758127846
549	4.757090616
550	4.75678322
551	4.756160718
552	4.755784487
553	4.755521832
554	4.754999628
555	4.754661987
556	4.753918993
557	4.753336057
558	4.753074161
559	4.752807335
560	4.752172166
561	4.751544099
562	4.751133473
563	4.750332568
564	4.750026256
565	4.749520781
566	4.749248501
567	4.748752999
568	4.74853164
569	4.747722042
570	4.747507198
571	4.747306262
572	4.74662472
573	4.745984825
574	4.745443912
575	4.745151211
576	4.744561093
577	4.744304834
578	4.74403498
579	4.743444478
580	4.742813426
581	4.742428308
582	4.741832624
583	4.741128824
584	4.740668503
585	4.740057717
586	4.739740082
587	4.739129856
588	4.738290602
589	4.738002302
590	4.73773689
591	4.737389238
592	4.736707131
593	4.735975923
594	4.73561269
595	4.734996166
596	4.734679809
597	4.734061825
598	4.733753629
599	4.733426243
600	4.733037093
601	4.732311655
602	4.732012935
603	4.731232789
604	4.730538102
605	4.729701567
606	4.728597919
607	4.727934256
608	4.727695525
609	4.727161678
610	4.726388388
611	4.725549662
612	4.725000148
613	4.724165941
614	4.723879666
615	4.723299028
616	4.723114566
617	4.722702731
618	4.722257069
619	4.721549108
620	4.721038507
621	4.720547067
622	4.719558325
623	4.718532929
624	4.717923763
625	4.717628387
626	4.716863799
627	4.716187499
628	4.715652306
629	4.715042644
630	4.714597436
631	4.713735865
632	4.712940336
633	4.712498831
634	4.711931835
635	4.711724945
636	4.711485569
637	4.711058549
638	4.710481558
639	4.709959118
640	4.709395308
641	4.708551075
642	4.707829024
643	4.707194998
644	4.707002106
645	4.706749824
646	4.70599947
647	4.705601841
648	4.704974967
649	4.704626137
650	4.704220179
651	4.703728474
652	4.703495524
653	4.702891509
654	4.702067179
655	4.701869234
656	4.701488468
657	4.701168052
658	4.700549111
659	4.699938986
660	4.699562045
661	4.698972105
662	4.698773092
663	4.698149831
664	4.697811873
665	4.697065501
666	4.696271364
667	4.695979422
668	4.695580657
669	4.69513757
670	4.694641372
671	4.694195089
672	4.693768163
673	4.693253325
674	4.692866112
675	4.692696198
676	4.692253848
677	4.691688077
678	4.691192233
679	4.690602527
680	4.690388239
681	4.689774492
682	4.689427556
683	4.688529651
684	4.687747906
685	4.68751131
686	4.686642226
687	4.686123363
688	4.685559105
689	4.685212934
690	4.684176011
691	4.683852145
692	4.683376253
693	4.682754598
694	4.682287074
695	4.681852233
696	4.681337262
697	4.680909598
698	4.680604812
699	4.680032931
700	4.679705648
701	4.679302669
702	4.679125318
703	4.678514493
704	4.67812509
705	4.677521331
706	4.676763991
707	4.676452091
708	4.675957249
709	4.675623926
710	4.675289964
711	4.675036497
712	4.674872319
713	4.674701344
714	4.674060607
715	4.673624851
716	4.673225858
717	4.672621675
718	4.672398774
719	4.671958191
720	4.671482772
721	4.671239948
722	4.670649277
723	4.670368109
724	4.670083129
725	4.66949898
726	4.669145558
727	4.668572923
728	4.668411127
729	4.66773544
730	4.667147765
731	4.666726448
732	4.666332192
733	4.665883272
734	4.66521234
735	4.664796339
736	4.66428024
737	4.663510277
738	4.662734013
739	4.662346762
740	4.661414297
741	4.660935711
742	4.660451962
743	4.660247741
744	4.659633522
745	4.659070774
746	4.658597362
747	4.658006603
748	4.657558867
749	4.657145899
750	4.656710427
751	4.656156557
752	4.65577683
753	4.655138057
754	4.654802415
755	4.654304101
756	4.653585686
757	4.653083144
758	4.652526363
759	4.651900873
760	4.651728011
761	4.651273845
762	4.650880098
763	4.650230844
764	4.649642268
765	4.649159449
766	4.648503498
767	4.648236891
768	4.647892259
769	4.647238817
770	4.647064636
771	4.646598828
772	4.646011859
773	4.645612965
774	4.645159119
775	4.644848107
776	4.644236815
777	4.643639313
778	4.642962526
779	4.642605195
780	4.642281212
781	4.641935218
782	4.641349039
783	4.640793995
784	4.640583695
785	4.640341373
786	4.6396872
787	4.639177589
788	4.638706992
789	4.638050071
790	4.637864114
791	4.637639673
792	4.637152874
793	4.636452701
794	4.63572539
795	4.635506224
796	4.635196968
797	4.634781984
798	4.634512163
799	4.63399468
800	4.633677409
801	4.633299601
802	4.633085121
803	4.632284491
804	4.631955394
805	4.631773255
806	4.631577798
807	4.631348546
808	4.630845586
809	4.630101257
810	4.629694915
811	4.629384451
812	4.629148234
813	4.628450405
814	4.628069115
815	4.627727795
816	4.627197371
817	4.626431143
818	4.62592958
819	4.625406377
820	4.625092388
821	4.624745394
822	4.624568251
823	4.624261384
824	4.623643115
825	4.623330182
826	4.623046518
827	4.622749661
828	4.622496033
829	4.621694262
830	4.621260091
831	4.620652531
832	4.620379548
833	4.6197666
834	4.619238371
835	4.618605954
836	4.618344447
837	4.618156798
838	4.61780917
839	4.617275229
840	4.616949835
841	4.616578991
842	4.615901505
843	4.615477891
844	4.615027645
845	4.614791567
846	4.614021734
847	4.61385098
848	4.613308696
849	4.613053488
850	4.61284457
851	4.612509398
852	4.612020214
853	4.611422087
854	4.610813262
855	4.610138014
856	4.609554831
857	4.609306248
858	4.608879158
859	4.608572957
860	4.607853586
861	4.607240004
862	4.606939701
863	4.606720277
864	4.606489107
865	4.606055409
866	4.605837552
867	4.605230017
868	4.605071569
869	4.604582656
870	4.604283917
871	4.604083014
872	4.603794658
873	4.603465945
874	4.603156305
875	4.602583929
876	4.602153778
877	4.601829244
878	4.601541048
879	4.601370702
880	4.600849792
881	4.600580833
882	4.600283162
883	4.599877031
884	4.59970765
885	4.599303377
886	4.598662078
887	4.598322065
888	4.597899753
889	4.597338917
890	4.596742028
891	4.596176536
892	4.595982279
893	4.595691184
894	4.595346963
895	4.59496361
896	4.594746902
897	4.594230505
898	4.594084363
899	4.593821146
900	4.593468794
901	4.593265417
902	4.593065203
903	4.592848368
904	4.592502126
905	4.592158225
906	4.591976458
907	4.591808481
908	4.590072984
909	4.589650288
910	4.589262779
911	4.588974719
912	4.58829391
913	4.587664952
914	4.587167091
915	4.586878545
916	4.586553776
917	4.586107647
918	4.5857092
919	4.585204964
920	4.584835851
921	4.584617625
922	4.584144446
923	4.58380158
924	4.583238358
925	4.582765613
926	4.582180848
927	4.581856131
928	4.581666707
929	4.58121523
930	4.5805411
931	4.580359111
932	4.579977022
933	4.579817276
934	4.579285819
935	4.579106398
936	4.57867361
937	4.578022683
938	4.577259352
939	4.576979649
940	4.576253398
941	4.575885605
942	4.575721908
943	4.575534309
944	4.575353709
945	4.575128521
946	4.574870026
947	4.574400262
948	4.574092404
949	4.573570362
950	4.573302541
951	4.572807621
952	4.572461721
953	4.571902034
954	4.571636645
955	4.571400681
956	4.570755074
957	4.570597825
958	4.570318293
959	4.570095366
960	4.56985553
961	4.569491242
962	4.56919412
963	4.56896394
964	4.568615291
965	4.568406019
966	4.568053002
967	4.567841957
968	4.567496092
969	4.56715969
970	4.566644817
971	4.566213442
972	4.565896118
973	4.565349374
974	4.564781027
975	4.564613147
976	4.564098504
977	4.563604639
978	4.563417825
979	4.562915085
980	4.562151035
981	4.561912948
982	4.561740738
983	4.561208792
984	4.560854908
985	4.560569434
986	4.55992684
987	4.55970801
988	4.55920438
989	4.559034334
990	4.55866398
991	4.558220322
992	4.557703031
993	4.557520671
994	4.557183356
995	4.556827938
996	4.556387802
997	4.555948822
998	4.555589151
999	4.555199334
